loan_amnt,int_rate,grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,term_months,emp_years
22159,21.3,A,RENT,42352,Verified,2015-01-01,Current,credit_card,OH,24.269268673730547,60,7
17206,9.5,B,OWN,140179,Not Verified,2015-09-01,Fully Paid,major_purchase,FL,13.282582654677867,36,5
13226,9.5,A,MORTGAGE,79737,Source Verified,2017-01-01,Fully Paid,car,CA,11.523429020231008,60,3
19541,15.7,E,RENT,134127,Verified,2017-09-01,Current,home_improvement,PA,12.625331429169725,36,1
8152,16.9,D,MORTGAGE,126426,Source Verified,2016-01-01,Late (31-120 days),car,TX,19.7194249802218,36,8
31531,16.6,A,MORTGAGE,62016,Source Verified,2016-04-01,Late (31-120 days),vacation,NY,33.982996181944465,36,0
6585,6.8,B,RENT,91304,Verified,2015-03-01,Fully Paid,home_improvement,FL,29.96713824683685,36,0
8943,22.5,C,MORTGAGE,41962,Not Verified,2018-07-01,Fully Paid,small_business,PA,13.538307936805314,60,3
28939,10.3,A,MORTGAGE,63302,Source Verified,2017-02-01,Fully Paid,home_improvement,PA,15.901196254942931,60,6
24457,7.6,E,RENT,115382,Verified,2017-01-01,Fully Paid,credit_card,OH,18.935367515122323,60,0
6021,22.8,E,RENT,34011,Source Verified,2016-08-01,Late (31-120 days),debt_consolidation,IL,34.36788941050971,36,8
16653,24.1,C,OWN,49782,Not Verified,2015-09-01,Fully Paid,medical,OH,10.171714050071472,60,3
15805,22.2,F,MORTGAGE,97691,Not Verified,2015-06-01,Fully Paid,debt_consolidation,TX,15.724493104756483,36,2
18417,21.2,B,MORTGAGE,69725,Not Verified,2017-03-01,Fully Paid,debt_consolidation,CA,26.88278281948145,60,0
25227,18.1,G,OWN,39196,Verified,2017-06-01,Fully Paid,debt_consolidation,MI,33.9183120280683,60,9
12989,16.0,D,MORTGAGE,73459,Verified,2015-08-01,Current,medical,GA,9.67025638292713,60,3
14692,6.7,C,OWN,117245,Not Verified,2018-02-01,Fully Paid,car,CA,11.821398625830373,36,8
17990,13.2,A,OWN,108863,Verified,2018-09-01,Fully Paid,medical,TX,11.770840231712906,60,9
11873,12.5,E,RENT,149391,Not Verified,2016-10-01,Fully Paid,car,MI,5.627960884762206,60,5
10675,10.2,B,RENT,131010,Verified,2015-08-01,Fully Paid,medical,PA,23.123468749428486,36,5
5161,19.5,A,RENT,62769,Not Verified,2017-11-01,Fully Paid,medical,CA,25.121092224376813,60,0
9297,14.9,A,OWN,137529,Source Verified,2015-10-01,Charged Off,home_improvement,MI,23.0757767037576,36,9
31557,6.6,C,RENT,54700,Not Verified,2018-01-01,Fully Paid,car,NY,7.139689682384431,60,1
5995,9.4,C,MORTGAGE,145792,Not Verified,2018-07-01,Current,home_improvement,OH,7.076903772368951,36,10
34487,18.7,D,RENT,110356,Verified,2016-03-01,Late (31-120 days),small_business,GA,11.31159663482372,36,5
16534,6.5,E,RENT,106427,Verified,2016-08-01,Late (31-120 days),home_improvement,FL,13.708835470967438,60,1
34127,22.0,A,OWN,130165,Verified,2017-12-01,Late (31-120 days),debt_consolidation,NY,28.59630967730142,36,2
12629,14.9,D,MORTGAGE,35269,Verified,2015-01-01,Fully Paid,major_purchase,CA,9.781707972467633,36,3
33374,14.6,A,RENT,73880,Verified,2017-02-01,Fully Paid,major_purchase,NC,6.3227664919259645,36,10
30851,16.8,E,RENT,144003,Verified,2018-04-01,Fully Paid,credit_card,MI,16.819625231391655,36,4
6016,21.5,E,MORTGAGE,38320,Source Verified,2018-01-01,Current,credit_card,PA,17.49176510425761,36,8
29253,12.0,C,RENT,79589,Not Verified,2016-09-01,Late (16-30 days),vacation,PA,18.52722014566863,36,3
27823,18.6,D,RENT,149534,Not Verified,2017-08-01,Current,home_improvement,NC,29.80710632080905,60,10
29276,16.3,B,MORTGAGE,106276,Not Verified,2015-04-01,Fully Paid,medical,CA,7.940162446128252,36,8
28247,10.3,C,RENT,65897,Source Verified,2015-02-01,Late (31-120 days),medical,PA,26.118262472658863,36,10
29300,22.6,E,OWN,88565,Not Verified,2015-12-01,Fully Paid,major_purchase,IL,15.138367131358724,60,9
13529,20.9,C,RENT,60930,Source Verified,2017-06-01,Fully Paid,debt_consolidation,PA,14.299404093064098,60,2
22262,18.2,B,RENT,87233,Source Verified,2016-04-01,Fully Paid,car,GA,32.9762937825794,60,7
14268,22.0,C,RENT,112821,Source Verified,2015-07-01,Fully Paid,debt_consolidation,IL,12.454055732502262,60,0
26271,22.3,E,RENT,44380,Not Verified,2015-07-01,Fully Paid,vacation,TX,24.27595506018099,60,10
17185,19.2,B,RENT,106896,Source Verified,2016-05-01,Fully Paid,debt_consolidation,TX,13.253832721282762,60,8
26243,21.7,A,RENT,100934,Not Verified,2017-02-01,Fully Paid,home_improvement,MI,20.214316479211558,60,8
11331,18.9,D,MORTGAGE,85830,Not Verified,2015-10-01,Charged Off,home_improvement,IL,28.588786777888338,36,9
13571,18.6,E,RENT,35529,Verified,2016-10-01,Current,small_business,NY,31.451675705487816,36,1
30068,17.4,A,OWN,124598,Verified,2016-07-01,Charged Off,vacation,MI,30.160917208851508,60,3
12208,20.1,B,MORTGAGE,132222,Source Verified,2017-10-01,Fully Paid,debt_consolidation,NY,22.465422084339195,36,7
10276,8.2,A,MORTGAGE,112987,Source Verified,2017-08-01,Current,medical,GA,12.464489460146664,36,6
23446,22.6,B,RENT,79178,Not Verified,2018-10-01,Late (31-120 days),medical,OH,24.83700149785597,36,0
33460,22.4,C,MORTGAGE,36937,Source Verified,2016-01-01,Fully Paid,vacation,CA,26.29715137338824,60,4
21448,5.6,D,RENT,69886,Source Verified,2018-08-01,Fully Paid,debt_consolidation,IL,5.3207597034050425,60,6
21216,21.5,D,RENT,79699,Not Verified,2018-10-01,Fully Paid,home_improvement,NC,18.17631532795624,36,3
13006,7.6,C,MORTGAGE,106396,Source Verified,2015-08-01,Fully Paid,home_improvement,FL,30.297861284652928,60,0
7568,11.7,B,OWN,120678,Source Verified,2017-06-01,Charged Off,small_business,CA,19.68762788729142,36,8
26847,19.9,E,OWN,55279,Not Verified,2017-09-01,Current,small_business,GA,14.341263264899634,36,4
34824,8.2,C,RENT,68106,Not Verified,2016-04-01,Fully Paid,credit_card,IL,31.15393313073988,36,10
7027,21.4,G,OWN,140776,Verified,2015-02-01,Current,vacation,TX,9.67642092589417,36,1
7695,21.6,C,RENT,131444,Not Verified,2015-10-01,Current,major_purchase,CA,11.193356972486011,60,7
31071,15.1,A,MORTGAGE,136300,Verified,2017-12-01,Late (31-120 days),debt_consolidation,NY,25.621171008084,60,10
20422,5.1,D,RENT,143793,Source Verified,2018-08-01,Fully Paid,vacation,NC,15.57307824579725,60,1
10258,10.7,B,MORTGAGE,146278,Not Verified,2016-06-01,Late (31-120 days),medical,CA,26.39050507201337,36,2
27002,17.3,D,OWN,109737,Not Verified,2017-06-01,Fully Paid,debt_consolidation,FL,9.731108637784756,60,9
11736,24.6,A,MORTGAGE,70544,Not Verified,2018-05-01,Fully Paid,small_business,GA,12.568072688025378,36,0
5391,17.6,A,MORTGAGE,133247,Source Verified,2017-03-01,Fully Paid,small_business,GA,9.699421350909006,60,10
18986,10.2,E,MORTGAGE,141190,Verified,2017-11-01,Fully Paid,credit_card,MI,33.58730940690529,36,1
34090,17.7,B,RENT,38997,Source Verified,2018-01-01,Current,major_purchase,GA,17.162118825527724,36,6
17666,15.8,E,RENT,136102,Source Verified,2018-07-01,Fully Paid,credit_card,MI,15.11659729730678,36,9
10892,20.6,B,RENT,115711,Not Verified,2017-07-01,Fully Paid,medical,GA,5.426064685122941,60,1
8561,7.1,C,MORTGAGE,146045,Verified,2017-12-01,Fully Paid,major_purchase,FL,9.602527382326622,60,5
31854,20.2,D,MORTGAGE,70860,Source Verified,2015-11-01,Charged Off,car,GA,17.634075687274986,60,2
11184,15.8,C,OWN,33225,Not Verified,2017-05-01,Fully Paid,debt_consolidation,NC,7.055083777156822,60,3
24483,24.3,B,RENT,140114,Source Verified,2017-02-01,Current,credit_card,OH,20.322179885186507,36,10
27662,11.8,B,RENT,89470,Source Verified,2018-10-01,Fully Paid,small_business,TX,18.650463153933437,60,7
13392,17.7,A,MORTGAGE,143218,Not Verified,2018-02-01,Fully Paid,credit_card,NC,28.01504421033056,60,2
18067,23.6,B,OWN,130764,Not Verified,2018-04-01,Fully Paid,car,GA,24.7940810420095,36,9
20265,7.1,D,MORTGAGE,137041,Verified,2016-06-01,Fully Paid,credit_card,IL,18.378419159617216,36,5
24488,23.7,F,MORTGAGE,142224,Source Verified,2017-06-01,Fully Paid,debt_consolidation,NY,11.739821003152144,36,0
28599,18.8,E,RENT,93656,Not Verified,2016-11-01,Fully Paid,car,OH,26.80590698053419,60,6
34174,6.4,D,OWN,81880,Not Verified,2017-03-01,Late (16-30 days),vacation,TX,26.235863103626127,36,7
7454,11.0,D,OWN,91078,Verified,2018-12-01,Charged Off,vacation,NY,9.598884815461624,36,10
16837,19.2,D,RENT,118646,Verified,2017-02-01,Fully Paid,vacation,NC,32.44255494276209,36,7
19039,6.3,B,RENT,106290,Not Verified,2015-08-01,Fully Paid,small_business,FL,6.932153480451295,60,2
30380,16.6,F,RENT,86633,Verified,2015-11-01,Current,small_business,FL,6.651131266781486,36,9
24115,11.9,D,MORTGAGE,56655,Not Verified,2017-02-01,Fully Paid,vacation,NY,10.62051252987281,60,0
15965,17.4,C,OWN,73601,Source Verified,2016-02-01,Fully Paid,vacation,IL,32.28382394146314,60,8
29538,5.9,A,OWN,33114,Verified,2016-06-01,Current,vacation,NY,20.599943721107653,36,5
14762,22.4,B,MORTGAGE,56502,Source Verified,2015-03-01,Charged Off,home_improvement,NC,28.638227620187003,36,10
10056,24.5,C,MORTGAGE,79768,Source Verified,2017-03-01,Fully Paid,vacation,NY,11.83529564229502,60,8
19948,24.4,E,RENT,78128,Source Verified,2018-12-01,Fully Paid,car,TX,19.706659239612225,36,6
13110,20.0,C,OWN,50028,Not Verified,2015-03-01,Fully Paid,home_improvement,IL,15.748683908716467,36,0
18773,7.6,B,OWN,85565,Source Verified,2016-07-01,Charged Off,home_improvement,PA,29.83485821198578,60,0
32266,20.2,G,MORTGAGE,113123,Source Verified,2018-08-01,Fully Paid,debt_consolidation,CA,5.678133180776799,60,5
25224,5.5,A,MORTGAGE,138255,Source Verified,2017-11-01,Fully Paid,credit_card,PA,12.31528189898316,36,4
22412,5.4,B,MORTGAGE,65333,Not Verified,2015-09-01,Fully Paid,small_business,MI,9.577226729071365,60,8
28769,11.5,A,RENT,33174,Source Verified,2017-10-01,Fully Paid,small_business,NY,30.77567116164708,36,1
5502,14.8,D,MORTGAGE,147769,Source Verified,2018-03-01,Late (31-120 days),credit_card,FL,19.02631549081297,36,7
11910,20.4,F,RENT,65398,Verified,2015-06-01,Current,small_business,PA,17.126601316796485,36,10
17685,18.7,B,RENT,65929,Not Verified,2018-12-01,Current,credit_card,GA,18.4844828630324,60,4
30446,13.9,E,RENT,34321,Source Verified,2018-12-01,Fully Paid,car,NC,34.157736521070056,36,1
28322,10.5,B,RENT,125971,Verified,2017-02-01,Fully Paid,debt_consolidation,PA,30.508021830077723,36,9
25872,24.9,F,RENT,141508,Not Verified,2018-05-01,Fully Paid,vacation,OH,26.191063155509227,36,10
5206,13.5,D,MORTGAGE,85421,Not Verified,2016-12-01,Fully Paid,debt_consolidation,IL,13.714368776697638,60,10
26518,14.0,E,MORTGAGE,102635,Not Verified,2015-08-01,Late (16-30 days),medical,NC,9.955189985553432,60,5
27361,8.3,A,RENT,53760,Not Verified,2017-09-01,Fully Paid,debt_consolidation,FL,32.6430088707336,60,9
29105,20.9,F,RENT,41360,Not Verified,2015-03-01,Fully Paid,credit_card,MI,17.692265683894487,60,7
28419,18.9,D,RENT,40313,Not Verified,2016-05-01,Fully Paid,medical,PA,13.362673984058874,60,3
22868,9.4,B,RENT,141806,Source Verified,2015-02-01,Charged Off,credit_card,IL,19.127624792529065,36,1
29242,6.6,E,RENT,115998,Source Verified,2017-08-01,Fully Paid,vacation,CA,32.535422684610566,60,10
20934,18.6,B,MORTGAGE,35801,Source Verified,2018-01-01,Fully Paid,major_purchase,IL,16.612019401738795,60,4
22247,18.1,E,RENT,44130,Source Verified,2017-01-01,Fully Paid,medical,IL,21.879229917442984,60,1
24174,10.5,A,OWN,44271,Verified,2016-02-01,Current,vacation,NC,29.088989033257004,36,1
28792,24.0,D,RENT,46075,Source Verified,2016-06-01,Fully Paid,vacation,CA,17.813975931451736,60,5
13755,8.0,C,MORTGAGE,132455,Not Verified,2018-03-01,Late (31-120 days),small_business,IL,12.00625405779105,60,10
26500,13.6,A,MORTGAGE,137215,Source Verified,2018-04-01,Current,small_business,OH,34.835772451491,36,9
17383,23.9,B,MORTGAGE,48984,Source Verified,2016-02-01,Fully Paid,major_purchase,PA,33.69712572356479,60,8
27403,13.4,A,MORTGAGE,118095,Not Verified,2015-07-01,Current,major_purchase,PA,30.30437507376542,36,3
23141,17.8,C,RENT,90942,Source Verified,2018-01-01,Fully Paid,debt_consolidation,OH,25.65121638157768,36,5
19820,13.0,B,RENT,42861,Source Verified,2016-07-01,Late (16-30 days),vacation,PA,13.845968842090908,36,6
12574,10.5,C,MORTGAGE,128970,Source Verified,2016-12-01,Fully Paid,major_purchase,IL,32.40238814492096,36,10
11374,24.7,B,RENT,112203,Verified,2016-12-01,Fully Paid,credit_card,MI,13.266700103636865,36,5
28276,13.2,B,OWN,101376,Source Verified,2018-01-01,Fully Paid,vacation,IL,29.024284840304976,60,7
6678,22.9,D,RENT,91247,Not Verified,2017-06-01,Fully Paid,home_improvement,NC,32.547745038239185,36,3
24626,9.6,A,RENT,99101,Not Verified,2016-08-01,Late (16-30 days),credit_card,GA,23.090115212897345,36,0
26020,9.3,F,OWN,138730,Source Verified,2016-11-01,Fully Paid,medical,MI,29.091686536735367,60,6
6059,5.6,E,OWN,50977,Source Verified,2015-08-01,Charged Off,major_purchase,FL,28.7508529760524,36,2
28052,18.0,D,MORTGAGE,80617,Source Verified,2018-08-01,Fully Paid,small_business,FL,10.794732533629396,60,5
34855,12.4,C,RENT,87473,Not Verified,2016-06-01,Late (31-120 days),credit_card,MI,25.03773420788254,60,1
21198,22.3,E,OWN,116654,Not Verified,2017-08-01,Fully Paid,small_business,IL,7.804038107133307,60,8
14914,14.5,A,RENT,118177,Verified,2016-11-01,Fully Paid,credit_card,NY,20.23550429412444,36,0
32890,24.4,A,RENT,102902,Verified,2018-06-01,Fully Paid,small_business,GA,9.867066444217324,36,5
24541,8.7,B,OWN,122172,Verified,2016-01-01,Current,car,OH,17.49048496389295,36,5
27299,22.4,D,RENT,45630,Not Verified,2018-12-01,Fully Paid,credit_card,IL,29.98946224095313,60,4
15817,20.5,A,RENT,50056,Verified,2017-09-01,Fully Paid,medical,MI,34.615035188906134,36,4
15921,20.4,C,RENT,37382,Source Verified,2018-12-01,Fully Paid,small_business,NY,14.538794949788532,36,0
14789,21.9,G,RENT,85739,Source Verified,2017-12-01,Current,home_improvement,IL,20.958670963495297,36,9
21312,20.2,E,RENT,111685,Not Verified,2015-07-01,Fully Paid,medical,NY,20.33894073111465,60,4
16252,17.5,C,RENT,78639,Verified,2017-02-01,Fully Paid,debt_consolidation,MI,33.632045294931984,60,1
7693,7.6,A,RENT,89838,Source Verified,2016-06-01,Fully Paid,credit_card,IL,19.357511972983204,36,6
34467,5.7,E,RENT,76041,Not Verified,2018-03-01,Current,home_improvement,CA,25.97318616199093,36,2
34723,23.4,C,MORTGAGE,30992,Verified,2018-10-01,Late (31-120 days),debt_consolidation,PA,32.653676993255786,36,3
18931,17.3,A,RENT,102394,Source Verified,2016-11-01,Fully Paid,credit_card,MI,16.2013567861052,36,2
8627,20.9,A,RENT,97657,Verified,2018-02-01,Fully Paid,home_improvement,FL,32.06366714736163,60,2
30939,14.6,F,RENT,57160,Not Verified,2018-08-01,Fully Paid,home_improvement,FL,32.523686656730405,60,3
21157,7.3,D,MORTGAGE,75156,Verified,2016-10-01,Fully Paid,medical,GA,32.91987511901392,60,4
15173,7.5,E,MORTGAGE,81375,Not Verified,2018-05-01,Fully Paid,car,TX,13.113385564142792,60,0
26834,18.7,E,MORTGAGE,116442,Verified,2017-04-01,Charged Off,home_improvement,FL,17.010667828098754,36,3
23047,13.6,C,MORTGAGE,49572,Source Verified,2015-04-01,Fully Paid,car,TX,31.11187724677106,36,10
31105,9.0,C,OWN,147925,Not Verified,2015-01-01,Late (31-120 days),major_purchase,CA,15.774854728412564,36,7
15230,14.8,B,MORTGAGE,34136,Not Verified,2016-02-01,Fully Paid,medical,MI,23.007590988005152,60,9
20707,6.3,B,OWN,91868,Not Verified,2017-08-01,Charged Off,vacation,NY,8.54163521780156,36,6
26976,16.6,B,RENT,112263,Verified,2015-10-01,Fully Paid,small_business,GA,6.688249643337223,60,8
16494,10.4,D,RENT,62167,Verified,2016-05-01,Fully Paid,medical,PA,17.359819684765178,60,4
31813,21.0,C,RENT,140957,Source Verified,2017-07-01,Fully Paid,debt_consolidation,OH,22.367495977781523,36,9
28776,11.2,E,MORTGAGE,45479,Not Verified,2018-08-01,Fully Paid,small_business,TX,16.78097340076824,36,3
6306,14.1,B,OWN,149392,Not Verified,2016-07-01,Fully Paid,small_business,PA,22.33207310482526,36,7
33605,5.2,C,MORTGAGE,61376,Verified,2018-07-01,Current,vacation,GA,20.45253128515355,60,8
11776,6.4,C,RENT,34823,Verified,2016-05-01,Late (31-120 days),car,GA,25.57121687858228,36,6
32251,12.8,C,OWN,100456,Source Verified,2018-06-01,Fully Paid,vacation,FL,24.48597293196169,60,6
34644,14.6,D,RENT,49585,Source Verified,2016-10-01,Fully Paid,vacation,PA,17.727371096197402,36,4
27248,17.0,B,RENT,133775,Verified,2018-12-01,Fully Paid,small_business,IL,17.7498572125959,60,3
14474,10.8,C,MORTGAGE,47272,Not Verified,2017-09-01,Fully Paid,home_improvement,NC,9.22335020036696,60,9
12526,18.9,A,OWN,56619,Source Verified,2018-06-01,Fully Paid,car,GA,20.397157162893777,36,0
30285,22.2,B,RENT,105069,Verified,2017-05-01,Current,small_business,TX,22.615373844070906,60,9
26959,20.6,C,MORTGAGE,69895,Verified,2017-12-01,Late (16-30 days),car,OH,19.294681920614785,60,9
10530,5.8,D,RENT,33720,Not Verified,2016-10-01,Late (31-120 days),major_purchase,OH,14.77122005260997,36,6
34320,14.6,F,MORTGAGE,49267,Verified,2017-04-01,Fully Paid,car,CA,26.64945632755208,60,0
25797,7.1,C,RENT,45696,Verified,2017-12-01,Current,credit_card,CA,7.239849339356722,36,0
8748,9.8,D,RENT,59968,Source Verified,2017-08-01,Current,home_improvement,FL,32.43321109262142,60,4
18545,24.7,C,RENT,83364,Verified,2017-07-01,Fully Paid,debt_consolidation,IL,5.619303186373799,36,8
34355,7.8,C,RENT,53345,Verified,2015-07-01,Fully Paid,credit_card,FL,33.87050400314834,36,5
5663,15.0,A,RENT,81567,Source Verified,2016-07-01,Current,credit_card,OH,18.870668028039876,60,2
6998,17.4,B,MORTGAGE,121229,Not Verified,2016-02-01,Fully Paid,vacation,NY,17.380098320106235,60,2
12994,19.0,B,MORTGAGE,91607,Not Verified,2016-03-01,Fully Paid,vacation,OH,12.693320523895643,60,6
