loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti
24769, 36 months,19.8%,D,9 years,MORTGAGE,36080,Verified,Jun-2018,Charged Off,vacation,GA,8.629993025361992
33693, 60 months,9.8%,B,5 years,RENT,43854,Not Verified,Feb-2015,Current,car,IL,10.06104928411237
11396, 60 months,7.2%,B,5 years,RENT,97695,Not Verified,Feb-2015,Fully Paid,small_business,OH,14.473869335247535
34419, 36 months,12.1%,A,9 years,RENT,57025,Source Verified,Oct-2016,Late (16-30 days),home_improvement,CA,22.816213030035843
32480, 60 months,10.7%,B,10+ years,RENT,82982,Not Verified,Sep-2015,Current,major_purchase,MI,24.365344564360978
13666, 60 months,10.9%,D,6 years,OWN,71081,Verified,Mar-2015,Fully Paid,small_business,IL,16.890685159024244
30658, 36 months,9.7%,C,6 years,RENT,34368,Verified,Jan-2017,Current,debt_consolidation,NY,7.335174593315421
23942, 60 months,5.8%,B,10+ years,MORTGAGE,129621,Verified,May-2015,Fully Paid,small_business,MI,16.20903956278173
29233, 60 months,5.4%,E,5 years,OWN,149181,Not Verified,Mar-2018,Fully Paid,car,TX,25.663025478774546
23431, 36 months,24.8%,E,3 years,RENT,57094,Verified,Sep-2015,Fully Paid,home_improvement,TX,25.12986383390948
7747, 36 months,13.6%,E,10+ years,MORTGAGE,76040,Verified,Mar-2017,Fully Paid,credit_card,NC,9.805892396163284
30551, 36 months,12.7%,B,8 years,MORTGAGE,96766,Verified,Dec-2016,Current,vacation,FL,5.233519108069014
31382, 60 months,18.6%,C,5 years,MORTGAGE,113053,Source Verified,May-2016,Fully Paid,credit_card,FL,27.589448518883504
5189, 36 months,9.4%,G,3 years,RENT,53991,Not Verified,Jun-2017,Charged Off,small_business,OH,8.191044991557312
24118, 36 months,24.0%,D,2 years,MORTGAGE,31301,Not Verified,Sep-2017,Charged Off,credit_card,MI,7.470474318928565
8005, 36 months,20.7%,A,3 years,MORTGAGE,58610,Not Verified,Jun-2017,Current,small_business,MI,5.081036505024904
26042, 36 months,6.8%,A,2 years,RENT,111463,Source Verified,Dec-2015,Fully Paid,home_improvement,TX,17.978039778707817
6899, 36 months,13.4%,C,1 year,RENT,64678,Not Verified,Apr-2017,Current,credit_card,NY,20.097917027024433
29118, 36 months,22.6%,F,4 years,OWN,54466,Source Verified,May-2018,Fully Paid,car,NY,24.12992138445772
6267, 60 months,23.9%,C,1 year,RENT,110440,Source Verified,Aug-2016,Fully Paid,car,PA,13.881915221377575
22912, 60 months,14.3%,C,5 years,MORTGAGE,70875,Not Verified,Jan-2018,Fully Paid,debt_consolidation,NY,26.312741491603397
16394, 36 months,17.3%,A,2 years,RENT,56081,Verified,Aug-2016,Fully Paid,small_business,IL,10.079955722208247
8556, 36 months,8.3%,D,5 years,MORTGAGE,54354,Verified,Apr-2018,Current,credit_card,FL,29.95970159331042
8890, 36 months,24.8%,E,10+ years,OWN,123297,Not Verified,Feb-2018,Fully Paid,car,NY,22.15544986671337
13838, 60 months,9.6%,B,9 years,RENT,48300,Not Verified,Dec-2015,Current,medical,GA,22.51669470116145
32464, 60 months,23.9%,D,8 years,RENT,94384,Source Verified,Oct-2017,Fully Paid,home_improvement,MI,11.293262413373244
19502, 60 months,18.0%,F,< 1 year,OWN,125027,Not Verified,Sep-2016,Fully Paid,vacation,NY,7.223262479011647
26777, 60 months,17.2%,B,5 years,MORTGAGE,90892,Source Verified,Aug-2018,Late (16-30 days),home_improvement,PA,18.941744092420144
15627, 60 months,15.3%,C,8 years,MORTGAGE,65525,Not Verified,Dec-2015,Current,medical,OH,23.46835855767077
13792, 60 months,9.6%,B,10+ years,RENT,56532,Verified,Aug-2016,Fully Paid,medical,OH,7.851393759850568
15555, 60 months,8.5%,D,3 years,RENT,36464,Verified,Jul-2018,Fully Paid,debt_consolidation,TX,33.516034235845
15253, 60 months,9.4%,C,10+ years,RENT,46562,Not Verified,Feb-2015,Fully Paid,home_improvement,NY,34.412430806984204
13433, 60 months,8.7%,C,1 year,MORTGAGE,137392,Source Verified,Dec-2017,Fully Paid,home_improvement,MI,21.36370086177476
15233, 36 months,20.6%,D,3 years,RENT,85514,Verified,Feb-2017,Current,credit_card,MI,33.50207465820219
16016, 36 months,12.0%,B,< 1 year,OWN,143428,Source Verified,Apr-2015,Current,small_business,FL,10.383357127425592
28897, 36 months,6.2%,F,2 years,MORTGAGE,142564,Not Verified,May-2016,Fully Paid,major_purchase,OH,5.762620555385746
7612, 36 months,24.4%,C,9 years,MORTGAGE,138047,Not Verified,Sep-2016,Late (31-120 days),vacation,TX,6.182286058711698
28425, 60 months,22.7%,A,8 years,RENT,104219,Verified,Aug-2016,Fully Paid,home_improvement,NY,22.625374382803372
30939, 60 months,23.6%,D,9 years,RENT,62634,Not Verified,Jan-2016,Fully Paid,vacation,OH,6.849256503104706
27619, 36 months,24.9%,D,4 years,MORTGAGE,30060,Verified,Jul-2018,Fully Paid,vacation,OH,33.75636820472261
26870, 60 months,8.5%,B,10+ years,MORTGAGE,39269,Source Verified,Oct-2015,Charged Off,vacation,MI,9.257996322781956
28483, 36 months,12.9%,E,5 years,RENT,93143,Verified,Dec-2017,Fully Paid,home_improvement,NY,14.141684181589358
31054, 60 months,20.2%,F,2 years,MORTGAGE,53065,Verified,Mar-2018,Fully Paid,major_purchase,CA,29.675534059950454
20787, 36 months,18.9%,B,4 years,MORTGAGE,32895,Source Verified,Oct-2016,Fully Paid,home_improvement,NY,11.562209693122792
32132, 60 months,8.1%,G,10+ years,RENT,110859,Verified,Jul-2015,Fully Paid,credit_card,IL,12.289053753637118
22159, 60 months,21.3%,A,7 years,RENT,42352,Verified,Jan-2015,Current,credit_card,OH,24.269268673730547
17206, 36 months,9.5%,B,5 years,OWN,140179,Not Verified,Sep-2015,Fully Paid,major_purchase,FL,13.282582654677869
13226, 60 months,9.5%,A,3 years,MORTGAGE,79737,Source Verified,Jan-2017,Fully Paid,car,CA,11.523429020231008
19541, 36 months,15.7%,E,1 year,RENT,134127,Verified,Sep-2017,Current,home_improvement,PA,12.625331429169725
8152, 36 months,16.9%,D,8 years,MORTGAGE,126426,Source Verified,Jan-2016,Late (31-120 days),car,TX,19.719424980221802
31531, 36 months,16.6%,A,< 1 year,MORTGAGE,62016,Source Verified,Apr-2016,Late (31-120 days),vacation,NY,33.982996181944465
6585, 36 months,6.8%,B,< 1 year,RENT,91304,Verified,Mar-2015,Fully Paid,home_improvement,FL,29.96713824683685
8943, 60 months,22.5%,C,3 years,MORTGAGE,41962,Not Verified,Jul-2018,Fully Paid,small_business,PA,13.538307936805314
28939, 60 months,10.3%,A,6 years,MORTGAGE,63302,Source Verified,Feb-2017,Fully Paid,home_improvement,PA,15.901196254942931
24457, 60 months,7.6%,E,< 1 year,RENT,115382,Verified,Jan-2017,Fully Paid,credit_card,OH,18.935367515122323
6021, 36 months,22.8%,E,8 years,RENT,34011,Source Verified,Aug-2016,Late (31-120 days),debt_consolidation,IL,34.36788941050971
16653, 60 months,24.1%,C,3 years,OWN,49782,Not Verified,Sep-2015,Fully Paid,medical,OH,10.171714050071472
15805, 36 months,22.2%,F,2 years,MORTGAGE,97691,Not Verified,Jun-2015,Fully Paid,debt_consolidation,TX,15.724493104756485
18417, 60 months,21.2%,B,< 1 year,MORTGAGE,69725,Not Verified,Mar-2017,Fully Paid,debt_consolidation,CA,26.88278281948145
25227, 60 months,18.1%,G,9 years,OWN,39196,Verified,Jun-2017,Fully Paid,debt_consolidation,MI,33.9183120280683
12989, 60 months,16.0%,D,3 years,MORTGAGE,73459,Verified,Aug-2015,Current,medical,GA,9.67025638292713
14692, 36 months,6.7%,C,8 years,OWN,117245,Not Verified,Feb-2018,Fully Paid,car,CA,11.821398625830373
17990, 60 months,13.2%,A,9 years,OWN,108863,Verified,Sep-2018,Fully Paid,medical,TX,11.770840231712906
11873, 60 months,12.5%,E,5 years,RENT,149391,Not Verified,Oct-2016,Fully Paid,car,MI,5.627960884762206
10675, 36 months,10.2%,B,5 years,RENT,131010,Verified,Aug-2015,Fully Paid,medical,PA,23.123468749428486
5161, 60 months,19.5%,A,< 1 year,RENT,62769,Not Verified,Nov-2017,Fully Paid,medical,CA,25.121092224376813
9297, 36 months,14.9%,A,9 years,OWN,137529,Source Verified,Oct-2015,Charged Off,home_improvement,MI,23.0757767037576
31557, 60 months,6.6%,C,1 year,RENT,54700,Not Verified,Jan-2018,Fully Paid,car,NY,7.1396896823844305
5995, 36 months,9.4%,C,10+ years,MORTGAGE,145792,Not Verified,Jul-2018,Current,home_improvement,OH,7.076903772368951
34487, 36 months,18.7%,D,5 years,RENT,110356,Verified,Mar-2016,Late (31-120 days),small_business,GA,11.31159663482372
16534, 60 months,6.5%,E,1 year,RENT,106427,Verified,Aug-2016,Late (31-120 days),home_improvement,FL,13.708835470967438
34127, 36 months,22.0%,A,2 years,OWN,130165,Verified,Dec-2017,Late (31-120 days),debt_consolidation,NY,28.59630967730142
12629, 36 months,14.9%,D,3 years,MORTGAGE,35269,Verified,Jan-2015,Fully Paid,major_purchase,CA,9.781707972467633
33374, 36 months,14.6%,A,10+ years,RENT,73880,Verified,Feb-2017,Fully Paid,major_purchase,NC,6.3227664919259645
30851, 36 months,16.8%,E,4 years,RENT,144003,Verified,Apr-2018,Fully Paid,credit_card,MI,16.819625231391655
6016, 36 months,21.5%,E,8 years,MORTGAGE,38320,Source Verified,Jan-2018,Current,credit_card,PA,17.49176510425761
29253, 36 months,12.0%,C,3 years,RENT,79589,Not Verified,Sep-2016,Late (16-30 days),vacation,PA,18.52722014566863
27823, 60 months,18.6%,D,10+ years,RENT,149534,Not Verified,Aug-2017,Current,home_improvement,NC,29.807106320809055
29276, 36 months,16.3%,B,8 years,MORTGAGE,106276,Not Verified,Apr-2015,Fully Paid,medical,CA,7.940162446128252
28247, 36 months,10.3%,C,10+ years,RENT,65897,Source Verified,Feb-2015,Late (31-120 days),medical,PA,26.118262472658863
29300, 60 months,22.6%,E,9 years,OWN,88565,Not Verified,Dec-2015,Fully Paid,major_purchase,IL,15.138367131358724
13529, 60 months,20.9%,C,2 years,RENT,60930,Source Verified,Jun-2017,Fully Paid,debt_consolidation,PA,14.299404093064098
22262, 60 months,18.2%,B,7 years,RENT,87233,Source Verified,Apr-2016,Fully Paid,car,GA,32.9762937825794
14268, 60 months,22.0%,C,< 1 year,RENT,112821,Source Verified,Jul-2015,Fully Paid,debt_consolidation,IL,12.454055732502262
26271, 60 months,22.3%,E,10+ years,RENT,44380,Not Verified,Jul-2015,Fully Paid,vacation,TX,24.27595506018099
17185, 60 months,19.2%,B,8 years,RENT,106896,Source Verified,May-2016,Fully Paid,debt_consolidation,TX,13.253832721282762
26243, 60 months,21.7%,A,8 years,RENT,100934,Not Verified,Feb-2017,Fully Paid,home_improvement,MI,20.214316479211554
11331, 36 months,18.9%,D,9 years,MORTGAGE,85830,Not Verified,Oct-2015,Charged Off,home_improvement,IL,28.588786777888338
13571, 36 months,18.6%,E,1 year,RENT,35529,Verified,Oct-2016,Current,small_business,NY,31.451675705487816
30068, 60 months,17.4%,A,3 years,OWN,124598,Verified,Jul-2016,Charged Off,vacation,MI,30.160917208851508
12208, 36 months,20.1%,B,7 years,MORTGAGE,132222,Source Verified,Oct-2017,Fully Paid,debt_consolidation,NY,22.465422084339195
10276, 36 months,8.2%,A,6 years,MORTGAGE,112987,Source Verified,Aug-2017,Current,medical,GA,12.464489460146664
23446, 36 months,22.6%,B,< 1 year,RENT,79178,Not Verified,Oct-2018,Late (31-120 days),medical,OH,24.837001497855972
33460, 60 months,22.4%,C,4 years,MORTGAGE,36937,Source Verified,Jan-2016,Fully Paid,vacation,CA,26.29715137338824
21448, 60 months,5.6%,D,6 years,RENT,69886,Source Verified,Aug-2018,Fully Paid,debt_consolidation,IL,5.3207597034050425
21216, 36 months,21.5%,D,3 years,RENT,79699,Not Verified,Oct-2018,Fully Paid,home_improvement,NC,18.17631532795624
13006, 60 months,7.6%,C,< 1 year,MORTGAGE,106396,Source Verified,Aug-2015,Fully Paid,home_improvement,FL,30.297861284652928
7568, 36 months,11.7%,B,8 years,OWN,120678,Source Verified,Jun-2017,Charged Off,small_business,CA,19.68762788729142
26847, 36 months,19.9%,E,4 years,OWN,55279,Not Verified,Sep-2017,Current,small_business,GA,14.341263264899634
34824, 36 months,8.2%,C,10+ years,RENT,68106,Not Verified,Apr-2016,Fully Paid,credit_card,IL,31.15393313073988
7027, 36 months,21.4%,G,1 year,OWN,140776,Verified,Feb-2015,Current,vacation,TX,9.67642092589417
7695, 60 months,21.6%,C,7 years,RENT,131444,Not Verified,Oct-2015,Current,major_purchase,CA,11.193356972486011
31071, 60 months,15.1%,A,10+ years,MORTGAGE,136300,Verified,Dec-2017,Late (31-120 days),debt_consolidation,NY,25.621171008084
20422, 60 months,5.1%,D,1 year,RENT,143793,Source Verified,Aug-2018,Fully Paid,vacation,NC,15.57307824579725
10258, 36 months,10.7%,B,2 years,MORTGAGE,146278,Not Verified,Jun-2016,Late (31-120 days),medical,CA,26.39050507201337
27002, 60 months,17.3%,D,9 years,OWN,109737,Not Verified,Jun-2017,Fully Paid,debt_consolidation,FL,9.731108637784757
11736, 36 months,24.6%,A,< 1 year,MORTGAGE,70544,Not Verified,May-2018,Fully Paid,small_business,GA,12.568072688025378
5391, 60 months,17.6%,A,10+ years,MORTGAGE,133247,Source Verified,Mar-2017,Fully Paid,small_business,GA,9.699421350909006
18986, 36 months,10.2%,E,1 year,MORTGAGE,141190,Verified,Nov-2017,Fully Paid,credit_card,MI,33.58730940690529
34090, 36 months,17.7%,B,6 years,RENT,38997,Source Verified,Jan-2018,Current,major_purchase,GA,17.162118825527724
17666, 36 months,15.8%,E,9 years,RENT,136102,Source Verified,Jul-2018,Fully Paid,credit_card,MI,15.116597297306779
10892, 60 months,20.6%,B,1 year,RENT,115711,Not Verified,Jul-2017,Fully Paid,medical,GA,5.426064685122941
8561, 60 months,7.1%,C,5 years,MORTGAGE,146045,Verified,Dec-2017,Fully Paid,major_purchase,FL,9.602527382326622
31854, 60 months,20.2%,D,2 years,MORTGAGE,70860,Source Verified,Nov-2015,Charged Off,car,GA,17.634075687274986
11184, 60 months,15.8%,C,3 years,OWN,33225,Not Verified,May-2017,Fully Paid,debt_consolidation,NC,7.055083777156822
24483, 36 months,24.3%,B,10+ years,RENT,140114,Source Verified,Feb-2017,Current,credit_card,OH,20.322179885186507
27662, 60 months,11.8%,B,7 years,RENT,89470,Source Verified,Oct-2018,Fully Paid,small_business,TX,18.650463153933433
13392, 60 months,17.7%,A,2 years,MORTGAGE,143218,Not Verified,Feb-2018,Fully Paid,credit_card,NC,28.015044210330558
18067, 36 months,23.6%,B,9 years,OWN,130764,Not Verified,Apr-2018,Fully Paid,car,GA,24.7940810420095
20265, 36 months,7.1%,D,5 years,MORTGAGE,137041,Verified,Jun-2016,Fully Paid,credit_card,IL,18.378419159617216
24488, 36 months,23.7%,F,< 1 year,MORTGAGE,142224,Source Verified,Jun-2017,Fully Paid,debt_consolidation,NY,11.739821003152144
28599, 60 months,18.8%,E,6 years,RENT,93656,Not Verified,Nov-2016,Fully Paid,car,OH,26.80590698053419
34174, 36 months,6.4%,D,7 years,OWN,81880,Not Verified,Mar-2017,Late (16-30 days),vacation,TX,26.235863103626127
7454, 36 months,11.0%,D,10+ years,OWN,91078,Verified,Dec-2018,Charged Off,vacation,NY,9.598884815461624
16837, 36 months,19.2%,D,7 years,RENT,118646,Verified,Feb-2017,Fully Paid,vacation,NC,32.44255494276209
19039, 60 months,6.3%,B,2 years,RENT,106290,Not Verified,Aug-2015,Fully Paid,small_business,FL,6.932153480451295
30380, 36 months,16.6%,F,9 years,RENT,86633,Verified,Nov-2015,Current,small_business,FL,6.651131266781486
24115, 60 months,11.9%,D,< 1 year,MORTGAGE,56655,Not Verified,Feb-2017,Fully Paid,vacation,NY,10.62051252987281
15965, 60 months,17.4%,C,8 years,OWN,73601,Source Verified,Feb-2016,Fully Paid,vacation,IL,32.28382394146314
29538, 36 months,5.9%,A,5 years,OWN,33114,Verified,Jun-2016,Current,vacation,NY,20.599943721107653
14762, 36 months,22.4%,B,10+ years,MORTGAGE,56502,Source Verified,Mar-2015,Charged Off,home_improvement,NC,28.638227620187003
10056, 60 months,24.5%,C,8 years,MORTGAGE,79768,Source Verified,Mar-2017,Fully Paid,vacation,NY,11.83529564229502
19948, 36 months,24.4%,E,6 years,RENT,78128,Source Verified,Dec-2018,Fully Paid,car,TX,19.706659239612225
13110, 36 months,20.0%,C,< 1 year,OWN,50028,Not Verified,Mar-2015,Fully Paid,home_improvement,IL,15.748683908716467
18773, 60 months,7.6%,B,< 1 year,OWN,85565,Source Verified,Jul-2016,Charged Off,home_improvement,PA,29.83485821198578
32266, 60 months,20.2%,G,5 years,MORTGAGE,113123,Source Verified,Aug-2018,Fully Paid,debt_consolidation,CA,5.678133180776799
25224, 36 months,5.5%,A,4 years,MORTGAGE,138255,Source Verified,Nov-2017,Fully Paid,credit_card,PA,12.31528189898316
22412, 60 months,5.4%,B,8 years,MORTGAGE,65333,Not Verified,Sep-2015,Fully Paid,small_business,MI,9.577226729071363
28769, 36 months,11.5%,A,1 year,RENT,33174,Source Verified,Oct-2017,Fully Paid,small_business,NY,30.775671161647082
5502, 36 months,14.8%,D,7 years,MORTGAGE,147769,Source Verified,Mar-2018,Late (31-120 days),credit_card,FL,19.02631549081297
11910, 36 months,20.4%,F,10+ years,RENT,65398,Verified,Jun-2015,Current,small_business,PA,17.126601316796485
17685, 60 months,18.7%,B,4 years,RENT,65929,Not Verified,Dec-2018,Current,credit_card,GA,18.484482863032397
30446, 36 months,13.9%,E,1 year,RENT,34321,Source Verified,Dec-2018,Fully Paid,car,NC,34.157736521070056
28322, 36 months,10.5%,B,9 years,RENT,125971,Verified,Feb-2017,Fully Paid,debt_consolidation,PA,30.508021830077723
25872, 36 months,24.9%,F,10+ years,RENT,141508,Not Verified,May-2018,Fully Paid,vacation,OH,26.191063155509227
5206, 60 months,13.5%,D,10+ years,MORTGAGE,85421,Not Verified,Dec-2016,Fully Paid,debt_consolidation,IL,13.714368776697638
26518, 60 months,14.0%,E,5 years,MORTGAGE,102635,Not Verified,Aug-2015,Late (16-30 days),medical,NC,9.955189985553433
27361, 60 months,8.3%,A,9 years,RENT,53760,Not Verified,Sep-2017,Fully Paid,debt_consolidation,FL,32.6430088707336
29105, 60 months,20.9%,F,7 years,RENT,41360,Not Verified,Mar-2015,Fully Paid,credit_card,MI,17.692265683894487
28419, 60 months,18.9%,D,3 years,RENT,40313,Not Verified,May-2016,Fully Paid,medical,PA,13.362673984058874
22868, 36 months,9.4%,B,1 year,RENT,141806,Source Verified,Feb-2015,Charged Off,credit_card,IL,19.127624792529062
29242, 60 months,6.6%,E,10+ years,RENT,115998,Source Verified,Aug-2017,Fully Paid,vacation,CA,32.535422684610566
20934, 60 months,18.6%,B,4 years,MORTGAGE,35801,Source Verified,Jan-2018,Fully Paid,major_purchase,IL,16.612019401738795
22247, 60 months,18.1%,E,1 year,RENT,44130,Source Verified,Jan-2017,Fully Paid,medical,IL,21.879229917442984
24174, 36 months,10.5%,A,1 year,OWN,44271,Verified,Feb-2016,Current,vacation,NC,29.088989033257004
28792, 60 months,24.0%,D,5 years,RENT,46075,Source Verified,Jun-2016,Fully Paid,vacation,CA,17.813975931451736
13755, 60 months,8.0%,C,10+ years,MORTGAGE,132455,Not Verified,Mar-2018,Late (31-120 days),small_business,IL,12.00625405779105
26500, 36 months,13.6%,A,9 years,MORTGAGE,137215,Source Verified,Apr-2018,Current,small_business,OH,34.835772451491
17383, 60 months,23.9%,B,8 years,MORTGAGE,48984,Source Verified,Feb-2016,Fully Paid,major_purchase,PA,33.69712572356479
27403, 36 months,13.4%,A,3 years,MORTGAGE,118095,Not Verified,Jul-2015,Current,major_purchase,PA,30.30437507376542
23141, 36 months,17.8%,C,5 years,RENT,90942,Source Verified,Jan-2018,Fully Paid,debt_consolidation,OH,25.651216381577676
19820, 36 months,13.0%,B,6 years,RENT,42861,Source Verified,Jul-2016,Late (16-30 days),vacation,PA,13.845968842090908
12574, 36 months,10.5%,C,10+ years,MORTGAGE,128970,Source Verified,Dec-2016,Fully Paid,major_purchase,IL,32.40238814492096
11374, 36 months,24.7%,B,5 years,RENT,112203,Verified,Dec-2016,Fully Paid,credit_card,MI,13.266700103636863
28276, 60 months,13.2%,B,7 years,OWN,101376,Source Verified,Jan-2018,Fully Paid,vacation,IL,29.024284840304976
6678, 36 months,22.9%,D,3 years,RENT,91247,Not Verified,Jun-2017,Fully Paid,home_improvement,NC,32.547745038239185
24626, 36 months,9.6%,A,< 1 year,RENT,99101,Not Verified,Aug-2016,Late (16-30 days),credit_card,GA,23.090115212897345
26020, 60 months,9.3%,F,6 years,OWN,138730,Source Verified,Nov-2016,Fully Paid,medical,MI,29.091686536735367
6059, 36 months,5.6%,E,2 years,OWN,50977,Source Verified,Aug-2015,Charged Off,major_purchase,FL,28.7508529760524
28052, 60 months,18.0%,D,5 years,MORTGAGE,80617,Source Verified,Aug-2018,Fully Paid,small_business,FL,10.794732533629396
34855, 60 months,12.4%,C,1 year,RENT,87473,Not Verified,Jun-2016,Late (31-120 days),credit_card,MI,25.03773420788254
21198, 60 months,22.3%,E,8 years,OWN,116654,Not Verified,Aug-2017,Fully Paid,small_business,IL,7.804038107133307
14914, 36 months,14.5%,A,< 1 year,RENT,118177,Verified,Nov-2016,Fully Paid,credit_card,NY,20.23550429412444
32890, 36 months,24.4%,A,5 years,RENT,102902,Verified,Jun-2018,Fully Paid,small_business,GA,9.867066444217325
24541, 36 months,8.7%,B,5 years,OWN,122172,Verified,Jan-2016,Current,car,OH,17.49048496389295
27299, 60 months,22.4%,D,4 years,RENT,45630,Not Verified,Dec-2018,Fully Paid,credit_card,IL,29.98946224095313
15817, 36 months,20.5%,A,4 years,RENT,50056,Verified,Sep-2017,Fully Paid,medical,MI,34.615035188906134
15921, 36 months,20.4%,C,< 1 year,RENT,37382,Source Verified,Dec-2018,Fully Paid,small_business,NY,14.538794949788532
14789, 36 months,21.9%,G,9 years,RENT,85739,Source Verified,Dec-2017,Current,home_improvement,IL,20.958670963495297
21312, 60 months,20.2%,E,4 years,RENT,111685,Not Verified,Jul-2015,Fully Paid,medical,NY,20.338940731114654
16252, 60 months,17.5%,C,1 year,RENT,78639,Verified,Feb-2017,Fully Paid,debt_consolidation,MI,33.632045294931984
7693, 36 months,7.6%,A,6 years,RENT,89838,Source Verified,Jun-2016,Fully Paid,credit_card,IL,19.357511972983204
34467, 36 months,5.7%,E,2 years,RENT,76041,Not Verified,Mar-2018,Current,home_improvement,CA,25.973186161990935
34723, 36 months,23.4%,C,3 years,MORTGAGE,30992,Verified,Oct-2018,Late (31-120 days),debt_consolidation,PA,32.653676993255786
18931, 36 months,17.3%,A,2 years,RENT,102394,Source Verified,Nov-2016,Fully Paid,credit_card,MI,16.2013567861052
8627, 60 months,20.9%,A,2 years,RENT,97657,Verified,Feb-2018,Fully Paid,home_improvement,FL,32.06366714736163
30939, 60 months,14.6%,F,3 years,RENT,57160,Not Verified,Aug-2018,Fully Paid,home_improvement,FL,32.523686656730405
21157, 60 months,7.3%,D,4 years,MORTGAGE,75156,Verified,Oct-2016,Fully Paid,medical,GA,32.91987511901392
15173, 60 months,7.5%,E,< 1 year,MORTGAGE,81375,Not Verified,May-2018,Fully Paid,car,TX,13.113385564142792
26834, 36 months,18.7%,E,3 years,MORTGAGE,116442,Verified,Apr-2017,Charged Off,home_improvement,FL,17.010667828098754
23047, 36 months,13.6%,C,10+ years,MORTGAGE,49572,Source Verified,Apr-2015,Fully Paid,car,TX,31.11187724677106
31105, 36 months,9.0%,C,7 years,OWN,147925,Not Verified,Jan-2015,Late (31-120 days),major_purchase,CA,15.774854728412564
